step,thrust,turn,x,y,theta
295,0.718993,-0.048338,279.318,223.361,0.140704
296,0.721792,-0.095460,280.030,223.458,0.134903
297,0.707833,-0.085628,280.747,223.547,0.123448
298,0.703592,-0.031598,281.450,223.627,0.113173
299,0.706349,0.015489,282.149,223.703,0.109381
300,0.705989,0.052873,282.851,223.782,0.111240
301,0.701472,0.051166,283.552,223.865,0.117584
302,0.697102,0.046890,284.249,223.951,0.123724
303,0.692815,0.136424,284.940,224.041,0.129351
304,0.683298,0.130934,285.625,224.142,0.145722
305,0.685844,0.086428,286.300,224.252,0.161434
306,0.686579,-0.034808,286.975,224.369,0.171805
307,0.693635,-0.040812,287.652,224.483,0.167628
308,0.699813,-0.034972,288.337,224.596,0.162731
309,0.698488,-0.036345,289.028,224.706,0.158534
310,0.696129,-0.078264,289.718,224.814,0.154173
311,0.692067,-0.086296,290.407,224.914,0.144781
312,0.689751,-0.035057,291.093,225.007,0.134426
313,0.689539,-0.033834,291.777,225.096,0.130219
314,0.683721,-0.081493,292.461,225.183,0.126159
315,0.671329,-0.109607,293.140,225.262,0.116380
316,0.672195,0.002140,293.808,225.332,0.103227
317,0.668951,0.018591,294.476,225.401,0.103484
318,0.672865,0.020404,295.141,225.472,0.105715
319,0.673500,-0.018533,295.810,225.544,0.108163
320,0.680455,-0.016394,296.480,225.616,0.105939
321,0.685850,-0.064063,297.157,225.686,0.103972
322,0.689310,-0.055973,297.840,225.752,0.096284
323,0.697570,-0.052253,298.526,225.814,0.089568
324,0.696604,-0.043545,299.221,225.872,0.083297
325,0.697402,-0.041231,299.916,225.926,0.078072
326,0.693292,-0.046457,300.611,225.977,0.073124
327,0.687959,-0.006430,301.303,226.024,0.067549
328,0.692462,0.040554,301.989,226.070,0.066778
329,0.689400,-0.009020,302.680,226.119,0.071644
330,0.691046,-0.006017,303.368,226.168,0.070562
331,0.690837,0.037095,304.057,226.216,0.069840
332,0.691494,0.043673,304.746,226.267,0.074291
333,0.690476,0.037248,305.435,226.322,0.079532
334,0.691367,0.078213,306.123,226.380,0.084002
335,0.691527,0.081345,306.812,226.445,0.093387
336,0.692021,0.111518,307.500,226.516,0.103148
337,0.686322,0.108966,308.187,226.596,0.116531
338,0.690447,0.099624,308.868,226.685,0.129607
339,0.691504,0.088446,309.551,226.783,0.141561
340,0.692225,0.084317,310.235,226.887,0.152175
341,0.692919,0.087763,310.918,226.999,0.162293
342,0.694061,0.013983,311.600,227.118,0.172825
343,0.697998,-0.039610,312.284,227.239,0.174503
344,0.698567,-0.075935,312.972,227.357,0.169749
345,0.700099,-0.072539,313.661,227.469,0.160637
346,0.705815,-0.069218,314.353,227.574,0.151933
347,0.705668,-0.103078,315.052,227.676,0.143626
348,0.706565,-0.107580,315.752,227.768,0.131257
349,0.707084,-0.069362,316.453,227.851,0.118347
350,0.704926,-0.048322,317.156,227.929,0.110024
351,0.706559,-0.056336,317.857,228.002,0.104225
352,0.705935,-0.010389,318.560,228.071,0.097465
353,0.710032,-0.010036,319.263,228.139,0.096218
354,0.711576,-0.013518,319.970,228.206,0.095014
355,0.702465,-0.043210,320.678,228.273,0.093392
356,0.704034,-0.077612,321.378,228.334,0.088207
357,0.707788,-0.075900,322.080,228.390,0.078893
358,0.709898,-0.034767,322.786,228.439,0.069785
359,0.715901,0.052396,323.494,228.486,0.065613
360,0.711305,0.007145,324.208,228.537,0.071901
361,0.704639,0.048537,324.918,228.589,0.072758
362,0.700503,0.053703,325.620,228.644,0.078583
363,0.699352,0.051039,326.318,228.704,0.085027
364,0.698593,0.050628,327.015,228.767,0.091152
365,0.699178,-0.080152,327.710,228.835,0.097227
366,0.701877,-0.099883,328.406,228.896,0.087609
367,0.697135,0.020909,329.106,228.949,0.075623
368,0.704075,-0.045278,329.801,229.004,0.078132
369,0.702627,-0.040575,330.504,229.055,0.072699
370,0.706053,0.012097,331.205,229.103,0.067830
371,0.699640,0.051127,331.909,229.152,0.069281
372,0.698537,0.012472,332.607,229.204,0.075416
373,0.698925,0.008459,333.303,229.258,0.076913
374,0.698436,0.003235,334.000,229.312,0.077928
375,0.695032,0.040239,334.696,229.367,0.078316
376,0.689999,0.078265,335.389,229.425,0.083145
377,0.694139,0.111591,336.076,229.488,0.092537
378,0.694207,0.104846,336.766,229.562,0.105928
379,0.689557,0.090337,337.455,229.644,0.118509
380,0.691830,0.049253,338.139,229.733,0.129350
381,0.693514,0.126650,338.825,229.826,0.135260
382,0.695150,0.203225,339.510,229.930,0.150458
383,0.693751,0.238273,340.195,230.051,0.174845
384,0.692389,0.062248,340.874,230.191,0.203438
385,0.690984,0.035089,341.551,230.336,0.210908
386,0.695113,0.027785,342.226,230.484,0.215118
387,0.695479,-0.014860,342.905,230.634,0.218453
388,0.692335,0.013574,343.584,230.784,0.216669
389,0.698309,0.057104,344.260,230.934,0.218298
390,0.700722,0.051773,344.941,231.090,0.225151
391,0.702094,-0.018251,345.623,231.250,0.231363
392,0.707359,-0.062681,346.307,231.410,0.229173
393,0.701633,0.056989,346.997,231.565,0.221652
394,0.710330,-0.025883,347.680,231.724,0.228490
395,0.711943,-0.016052,348.372,231.883,0.225384
396,0.714111,-0.019679,349.067,232.041,0.223458
397,0.713865,-0.017092,349.763,232.197,0.221097
398,0.717080,0.016631,350.460,232.352,0.219046
399,0.718845,0.022869,351.160,232.510,0.221041
400,0.710690,0.030686,351.861,232.669,0.223786
401,0.704977,0.034432,352.553,232.829,0.227468
402,0.702192,0.039356,353.239,232.991,0.231600
403,0.702948,0.036590,353.922,233.156,0.236322
404,0.699277,0.039906,354.605,233.323,0.240713
405,0.701481,0.002127,355.283,233.493,0.245502
