step,thrust,turn,x,y,theta
446,0.699595,0.132003,333.972,62.947,-1.036797
447,0.693910,0.121216,334.337,62.350,-1.020957
448,0.690804,0.080673,334.708,61.764,-1.006411
449,0.690827,0.014815,335.084,61.184,-0.996730
450,0.691154,-0.038981,335.460,60.605,-0.994953
451,0.691304,0.044248,335.833,60.023,-0.999630
452,0.695163,0.044767,336.210,59.444,-0.994320
453,0.692760,0.080553,336.592,58.863,-0.988948
454,0.696937,0.079965,336.979,58.288,-0.979282
455,0.703539,0.107941,337.373,57.713,-0.969686
456,0.700415,0.061915,337.778,57.138,-0.956733
457,0.699234,-0.032784,338.186,56.569,-0.949304
458,0.700114,-0.077010,338.591,55.999,-0.953238
459,0.700712,-0.080943,338.991,55.424,-0.962479
460,0.701211,-0.067494,339.386,54.845,-0.972192
461,0.697070,-0.033562,339.776,54.263,-0.980291
462,0.700513,-0.027480,340.162,53.682,-0.984319
463,0.702297,-0.122649,340.548,53.097,-0.987616
464,0.698202,-0.083991,340.926,52.506,-1.002334
465,0.697485,-0.001276,341.296,51.913,-1.012413
466,0.699407,0.083655,341.665,51.322,-1.012566
467,0.706391,0.120755,342.042,50.732,-1.002528
468,0.707701,0.150068,342.430,50.142,-0.988037
469,0.709938,0.066960,342.830,49.559,-0.970029
470,0.709136,0.009087,343.236,48.976,-0.961994
471,0.705141,-0.044905,343.643,48.395,-0.960903
472,0.712461,-0.045090,344.043,47.815,-0.966292
473,0.709607,-0.120960,344.445,47.226,-0.971703
474,0.710642,-0.125695,344.837,46.635,-0.986218
475,0.716809,-0.081813,345.220,46.036,-1.001301
476,0.713388,0.002314,345.600,45.429,-1.011119
477,0.708171,0.098586,345.979,44.824,-1.010841
478,0.702349,0.092236,346.363,44.229,-0.999011
479,0.706728,0.005909,346.749,43.642,-0.987942
480,0.703629,-0.034899,347.139,43.053,-0.987233
481,0.698562,-0.050842,347.524,42.464,-0.991421
482,0.697824,-0.017272,347.903,41.877,-0.997522
483,0.696357,-0.062159,348.280,41.290,-0.999595
484,0.694939,-0.075273,348.652,40.701,-1.007054
485,0.695125,0.049149,349.018,40.111,-1.016087
486,0.691137,0.012811,349.388,39.522,-1.010189
487,0.691293,-0.048864,349.756,38.937,-1.008651
488,0.689752,-0.047997,350.121,38.350,-1.014515
489,0.689016,-0.043176,350.482,37.762,-1.020275
490,0.687288,0.002078,350.839,37.173,-1.025456
491,0.686795,-0.040659,351.196,36.586,-1.025206
492,0.685280,-0.033433,351.549,35.997,-1.030086
493,0.691393,-0.039755,351.900,35.408,-1.034098
494,0.691350,-0.035638,352.251,34.812,-1.038868
495,0.691122,-0.082037,352.599,34.215,-1.043145
496,0.690452,-0.042215,352.941,33.614,-1.052989
497,0.687239,-0.090027,353.279,33.012,-1.058055
498,0.691938,-0.052160,353.610,32.410,-1.068858
499,0.693158,-0.133633,353.939,31.801,-1.075117
500,0.695112,-0.092505,354.259,31.186,-1.091153
501,0.694113,-0.082885,354.573,30.566,-1.102254
502,0.694604,-0.040227,354.880,29.944,-1.112200
503,0.695747,-0.048192,355.185,29.319,-1.117027
504,0.698876,-0.082285,355.486,28.692,-1.122810
505,0.696903,-0.003813,355.783,28.060,-1.132684
506,0.696904,0.005603,356.078,27.428,-1.133142
507,0.698636,0.067128,356.374,26.797,-1.132470
508,0.692276,0.098843,356.675,26.167,-1.124414
509,0.690467,0.115111,356.982,25.546,-1.112553
510,0.689739,0.158580,357.296,24.931,-1.098740
511,0.693880,0.069779,357.621,24.323,-1.079710
512,0.691806,0.062221,357.953,23.714,-1.071337
513,0.681684,0.006846,358.289,23.109,-1.063870
514,0.682004,-0.022700,358.620,22.513,-1.063049
515,0.683005,0.011022,358.950,21.917,-1.065773
516,0.682879,0.007356,359.282,21.319,-1.064450
517,0.686080,-0.039503,359.613,20.722,-1.063568
518,0.687714,-0.044644,359.944,20.121,-1.068308
519,0.693517,-0.048609,360.272,19.517,-1.073665
520,0.688726,-0.008631,360.599,18.905,-1.079498
521,0.686475,0.023474,360.923,18.298,-1.080534
522,0.692994,-0.012076,361.248,17.693,-1.077717
523,0.690191,0.008254,361.575,17.082,-1.079166
